last_name, first_name,player_id,team_id,team,position,age,competitive_runs,hp_to_1b,sprint_speed
Piña, Manny,444489,158,MIL,C,34,26,4.89,25.1
Kelly, Carson,608348,109,ARI,C,27,32,4.92,25.0
Suzuki, Kurt,435559,108,LAA,C,38,36,4.91,25.0
Sisco, Chance,642082,110,BAL,C,26,24,,25.0
Blandino, Alex,607468,113,CIN,1B,29,23,4.90,25.0
Narváez, Omar,553882,158,MIL,C,29,52,4.81,24.9
Votto, Joey,458015,113,CIN,1B,38,56,4.77,24.9
Aguilar, Jesús,542583,146,MIA,1B,31,71,4.77,24.8
Perez, Michael,605421,134,PIT,C,29,22,,24.8
Voit, Luke,572228,147,NYY,1B,30,14,4.93,24.8
Collins, Zack,641470,145,CWS,C,26,30,,24.8
Casali, Curt,592200,137,SF,C,33,23,4.94,24.7
Santana, Carlos,467793,118,KC,1B,35,88,4.77,24.7
Kirk, Alejandro,672386,141,TOR,C,23,16,,24.7
Stanton, Giancarlo,519317,147,NYY,DH,32,62,4.97,24.7
Cabrera, Asdrúbal,452678,109,ARI,3B,36,45,,24.6
Hedges, Austin,595978,114,CLE,C,29,25,4.89,24.5
Donaldson, Josh,518626,142,MIN,3B,36,75,4.79,24.5
Flores, Wilmer,527038,137,SF,3B,30,62,4.79,24.5
Vogelbach, Daniel,596129,158,MIL,1B,29,58,4.81,24.5
Trevino, Jose,624431,140,TEX,C,29,57,4.83,24.5
Barnhart, Tucker,571466,113,CIN,C,30,54,,24.4
Smith, Kevan,607345,144,ATL,C,33,11,,24.4
Pérez, Roberto,547379,114,CLE,C,33,15,4.92,24.4
Posey, Buster,457763,137,SF,C,34,67,4.84,24.4
Moreland, Mitch,519048,133,OAK,DH,36,55,4.70,24.3
Cabrera, Miguel,408234,116,DET,1B,38,66,4.97,24.3
Frazier, Todd,453943,134,PIT,1B,35,17,4.80,24.2
Moran, Colin,592567,134,PIT,1B,29,52,4.77,24.2
Wallach, Chad,595453,146,MIA,C,30,17,,24.1
Avila, Alex,488671,120,WSH,C,34,24,,23.9
Astudillo, Willians,553902,142,MIN,1B,30,44,5.02,23.8
Maldonado, Martín,455117,117,HOU,C,35,42,5.13,23.7
Stallings, Jacob,607732,134,PIT,C,32,72,4.94,23.6
Grandal, Yasmani,518735,145,CWS,C,33,44,5.11,23.5
Ramos, Wilson,467092,116,DET,C,34,38,5.04,23.5
León, Sandy,506702,146,MIA,C,32,25,,23.5
Ford, Mike,645801,147,NYY,1B,29,12,,23.1
Molina, Yadier,425877,138,STL,C,39,66,,23.0
Sandoval, Pablo,467055,144,ATL,,35,11,,22.5
Pujols, Albert,405395,119,LAD,1B,41,48,5.17,22.4
